adm2_code,adm1_code,year,yield,area_harvested_obs,phen_gup,phen_dor
US01031,US01,2003,123.0,5500.0,72,295
US01031,US01,2004,111.0,6900.0,72,295
US01031,US01,2005,127.0,6000.0,72,295
US01031,US01,2006,85.0,5600.0,72,295
US01031,US01,2007,73.0,8300.0,72,295
US01031,US01,2009,63.0,5600.0,72,295
US01031,US01,2010,82.20000000000049,6400.0,72,295
US01031,US01,2013,106.59999999999926,5300.0,72,295
US01031,US01,2016,104.5,6200.0,72,295
US01031,US01,2018,,,72,295
US01033,US01,2003,161.0,7800.0,84,281
US01033,US01,2004,138.0,9200.0,84,281
US01033,US01,2005,147.0,10000.0,84,281
US01033,US01,2006,90.0,11400.0,84,281
US01033,US01,2007,85.0,18300.0,84,281
US01033,US01,2009,126.0,16400.0,84,281
US01033,US01,2010,142.80000000000075,20800.0,84,281
US01033,US01,2011,131.30000000000058,19500.0,84,281
US01033,US01,2012,102.4000000000007,24500.0,84,281
US01033,US01,2013,182.19999999999877,25500.0,84,281
US01033,US01,2014,191.5,23200.0,84,281
US01033,US01,2015,159.09999999999903,20200.0,84,281
US01033,US01,2016,126.19999999999952,23300.0,84,281
US01033,US01,2017,195.30000000000132,15000.0,84,281
US01033,US01,2018,,,84,281
US01049,US01,2003,100.0,12000.0,73,299
US01049,US01,2004,136.0,13000.0,73,299
US01049,US01,2005,129.0,13300.0,73,299
US01049,US01,2006,58.0,10000.0,73,299
US01049,US01,2007,80.0,11500.0,73,299
US01049,US01,2008,71.0,9900.0,73,299
US01049,US01,2009,117.0,10900.0,73,299
US01049,US01,2010,87.0,10000.0,73,299
US01049,US01,2011,129.69999999999945,12800.0,73,299
US01049,US01,2012,103.5,12700.0,73,299
US01049,US01,2013,140.5,12600.0,73,299
US01049,US01,2014,144.30000000000078,11400.0,73,299
US01049,US01,2015,151.0,11300.0,73,299
US01049,US01,2016,96.79999999999974,11200.0,73,299
US01049,US01,2017,163.40000000000097,11300.0,73,299
US01049,US01,2018,,,73,299
US01071,US01,2003,121.0,21000.0,77,292
US01071,US01,2004,130.0,22000.0,77,292
US01071,US01,2005,124.0,23500.0,77,292
US01071,US01,2006,57.0,18000.0,77,292
US01071,US01,2007,74.0,25800.0,77,292
US01071,US01,2008,93.0,23800.0,77,292
US01071,US01,2009,110.0,18600.0,77,292
US01071,US01,2010,108.0,21900.0,77,292
US01071,US01,2011,117.3000000000003,21800.0,77,292
US01071,US01,2012,109.80000000000013,28700.0,77,292
US01071,US01,2013,131.9000000000009,25100.0,77,292
US01071,US01,2014,149.90000000000094,28500.0,77,292
US01071,US01,2015,147.69999999999916,23200.0,77,292
US01071,US01,2016,80.5,25400.0,77,292
US01071,US01,2017,150.19999999999914,20400.0,77,292
US01071,US01,2018,,,77,292
US01077,US01,2003,145.0,8600.0,78,284
US01077,US01,2004,135.0,8800.0,78,284
US01077,US01,2005,112.0,10000.0,78,284
US01077,US01,2006,84.0,8700.0,78,284
US01077,US01,2007,92.0,17200.0,78,284
US01077,US01,2008,99.0,17200.0,78,284
US01077,US01,2009,130.0,20200.0,78,284
US01077,US01,2010,126.5,20200.0,78,284
US01077,US01,2011,124.80000000000045,21800.0,78,284
US01077,US01,2012,75.70000000000047,26400.0,78,284
US01077,US01,2013,154.59999999999906,21900.0,78,284
US01077,US01,2014,184.40000000000083,28800.0,78,284
US01077,US01,2015,161.59999999999903,24300.0,78,284
US01077,US01,2016,106.5,23900.0,78,284
US01077,US01,2017,178.40000000000103,20600.0,78,284
US01077,US01,2018,,,78,284
US01079,US01,2003,153.0,11600.0,76,285
US01079,US01,2004,151.0,13200.0,76,285
US01079,US01,2005,136.0,15000.0,76,285
US01079,US01,2006,77.0,14900.0,76,285
US01079,US01,2007,73.0,32300.0,76,285
US01079,US01,2008,98.0,33300.0,76,285
US01079,US01,2009,112.0,34700.0,76,285
US01079,US01,2010,143.0,28900.0,76,285
US01079,US01,2011,132.5,28400.0,76,285
US01079,US01,2012,78.59999999999953,32800.0,76,285
US01079,US01,2013,172.0,29000.0,76,285
US01079,US01,2014,187.09999999999926,33000.0,76,285
US01079,US01,2015,140.30000000000072,25800.0,76,285
US01079,US01,2016,117.1999999999997,30700.0,76,285
US01079,US01,2017,204.0,23100.0,76,285
US01079,US01,2018,,,76,285
US01083,US01,2003,150.0,8300.0,75,273
US01083,US01,2004,150.0,9500.0,75,273
US01083,US01,2005,139.0,8200.0,75,273
US01083,US01,2006,85.0,7200.0,75,273
US01083,US01,2007,100.0,22500.0,75,273
US01083,US01,2008,122.0,19800.0,75,273
US01083,US01,2009,142.0,23100.0,75,273
US01083,US01,2010,144.5,21100.0,75,273
US01083,US01,2011,128.30000000000052,21000.0,75,273
US01083,US01,2012,71.90000000000039,31200.0,75,273
US01083,US01,2013,159.30000000000098,25000.0,75,273
US01083,US01,2014,181.6999999999988,24300.0,75,273
US01083,US01,2015,170.80000000000112,17800.0,75,273
US01083,US01,2016,112.90000000000077,30400.0,75,273
US01083,US01,2017,198.90000000000035,19200.0,75,273
US01083,US01,2018,,,75,273
US01089,US01,2003,125.0,12500.0,90,287
US01089,US01,2004,137.0,13100.0,90,287
US01089,US01,2005,143.0,12400.0,90,287
US01089,US01,2006,90.0,8800.0,90,287
US01089,US01,2007,100.0,20400.0,90,287
US01089,US01,2008,153.0,17600.0,90,287
US01089,US01,2009,128.0,18500.0,90,287
US01089,US01,2010,113.90000000000077,20900.0,90,287
US01089,US01,2011,147.90000000000094,23300.0,90,287
US01089,US01,2012,110.59999999999924,34800.0,90,287
US01089,US01,2013,161.59999999999903,33600.0,90,287
US01089,US01,2014,169.0,28000.0,90,287
US01089,US01,2015,173.19999999999885,26900.0,90,287
US01089,US01,2016,150.69999999999914,35900.0,90,287
US01089,US01,2017,176.69999999999882,24500.0,90,287
US01089,US01,2018,,,90,287
US01121,US01,2003,111.0,7300.0,68,282
US01121,US01,2004,134.0,6000.0,68,282
US01121,US01,2005,131.0,7000.0,68,282
US01121,US01,2006,65.0,6300.0,68,282
US01121,US01,2007,80.0,8700.0,68,282
US01121,US01,2009,121.0,7250.0,68,282
US01121,US01,2010,122.59999999999918,8800.0,68,282
US01121,US01,2011,122.3000000000004,8030.0,68,282
US01121,US01,2012,130.19999999999945,8400.0,68,282
US01121,US01,2013,158.90000000000094,6500.0,68,282
